Lake Number,Name,UTM Easting,UTM Northing,Notes,,
21,just after Castledale big with Lilys,532566,5652910,,,
24,before Castledale w of RR by Cacek Rd,535664,5650776,,,
30,Downstream of Spilli bridge,544039,5639613,,,
31,Galbraith's lake,545922,5637389,,, 
32,Perrys lake,545577,5637057,,,
35,Loon Pond Brisco Mill,550616,5631099,,,
36,south of Brisco mill,551383,5629234,,,
38,Thresher's lake,550339,5629567,,,
39,Frog reintroduction site,550804,5628496,,,
43,Luxor road,555491,5623598,,,
47,Taggert east of RR,562964,5612782,,,
48,Taggert west  of RR,562946,5612746,,,
49,Radium mill,563413,5608276,,,
51,Wilmer wetland ,566537,5601733,,,
59,FeO2south of Spilli Rd westside,543761,5638731,,,
62,"By Spilli, Dunnes house",544831,5639090,,,
63,opposite Galena outflow,544893,5637402,GW only,,
64,N of Highway 95 rest area,546725,5635922,,,
68,Feldmans drained slough,545307,5635715,,,
69,s of Spilli rd east pond,544325,5639373,,was named 62 A changed in June 2020,
70,Halverson's,551317,5627687,,,
71,"""elk"" pond",550112,5630873,,,
80,slough by west brd Radium Hot springs,563107,5608254,,,
110,stewart house 2nd pond,542996,5638520,,,
125,N of Loon Pond by N mill yd,550428,5631529,,,
126,Peter Trescher Pond N of isolated,549517,5631250,,,
127,Palmer #1 pond,549090,5631267,,,
128,Palmer # 2  pond,548571,5631699,,,
129,Beards Creek south,528755,5654469,,,
130,Beards creek west,528565,5654310,,,
131,Beards cr north,528247,5655396,,,
132,By Castledale Larry Clarks,533588,5652117,,,
133,west of #125 N of Brisco rd,550302,5631295,,,
134,just N of Tatley slough,578501,5581574,,,
135,Mud Lake,579568,5578469.663,,,
136,Tatley Slough,578550,5580005,,,
137,Muskrat Pond,550568,5629167,,,
